,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.905,0.91,0.8938964098431953,0.7211179433357531,6.361829346062518e-05,0.0003907248835462422,0.0007469775743329209,50,0.0,0.0,0.0,1000,191664963
1,0.342,0.347,0.34843901945939715,0.6472728398059562,0.0027207854262036825,0.017839728521961227,0.003061223780511599,50,0.0,0.0,0.0,1000,1662057957
2,0.769,0.778,0.7539919349762327,0.5377445410873531,0.00025546068212929326,0.0023075628723635195,0.03171677609305729,50,0.0,0.0,0.0,1000,1405681631
3,0.127,0.141,0.15614411307886733,0.2539236033945696,0.007612147619986957,0.04572049809297574,0.013976320756187401,50,0.0,0.0,0.0,1000,942484272
4,0.017,0.017,0.01551412480713576,0.41092297417497925,0.040038670018230194,0.12618409796401472,0.009842398860308604,50,0.0,0.0,0.0,1000,929893137
5,0.147,0.126,0.12467886968107894,0.4848905138978843,0.00774575133697704,0.04145108693766514,0.028061818029742554,50,0.0,0.0,0.0,1000,1843824992
6,0.701,0.674,0.7024063787790356,0.7912000813308563,0.0033025335696422165,0.0027279008009307654,0.0038278888050400084,50,0.0,0.0,0.0,1000,184566854
7,0.477,0.476,0.47362374892146664,0.6021397912242532,0.007395805123821355,0.010802873444082258,2.9491283181693755e-05,50,0.0,0.0,0.0,1000,1497586438
8,0.596,0.592,0.5796862522675518,0.603150726190121,0.005006799431654263,0.005394030187775557,0.009885107128857935,50,0.0,0.0,0.0,1000,432652533
9,0.469,0.411,0.20054044075690336,0.1756013834404689,0.06500692946647665,0.013321752399518185,0.054497179076814006,50,0.0,0.0,0.0,1000,202244314
10,0.129,0.151,0.16968606517015336,0.02966532570865876,0.023022726724717994,0.03997804287871282,0.00037703259941311037,50,0.0,0.0,0.0,1000,1130604997
11,0.402,0.413,0.38447926850818315,0.6212082131263057,0.003295504778716793,0.015616808007591082,0.0009573311830141917,50,0.0,0.0,0.0,1000,2095133045
12,0.542,0.521,0.5025414777231754,0.8654109597242332,0.02769184793971823,0.007956140319463012,0.001990743539184176,50,0.0,0.0,0.0,1000,1580016183
13,0.177,0.172,0.13600681844718865,0.6876872157589786,0.005698025407987564,0.04266040688061263,0.010498313427929737,50,0.0,0.0,0.0,1000,1634535062
14,0.002,0.002,0.00039252853799019526,0.25280838382643045,0.05212727532326993,0.20414390792926249,0.007729996732659589,50,0.0,0.0,0.0,1000,1540770719
15,0.566,0.544,0.5502838279368986,0.27392997866089536,0.006650197704341701,0.007130761799879126,0.0010527527543569065,50,0.0,0.0,0.0,1000,1688060240
16,0.384,0.386,0.386396022689499,0.43790322256711056,0.0006603721774628346,0.015625596525856728,0.002560160996288774,50,0.0,0.0,0.0,1000,1102145672
17,0.492,0.494,0.5626462429993495,0.17067322641734914,0.002617199295801194,0.008655723089154688,0.038653395780275435,50,0.0,0.0,0.0,1000,275121930
18,0.306,0.316,0.23432039748950156,0.5310623765695177,0.02190797799463456,0.023973630493356338,0.010841613649387093,50,0.0,0.0,0.0,1000,1803345590
19,0.621,0.552,0.4661698220292886,0.9911049324613111,0.05502008231146181,0.0049426106509299515,0.018955451759683894,50,0.0,0.0,0.0,1000,967196436
20,0.998,0.999,0.9818304276474772,0.8902628970007304,0.00023579638005146304,7.154251332545315e-08,0.038350239395633264,50,0.0,0.0,0.0,1000,1074497555
21,0.287,0.278,0.30321227625825975,0.5558147452860078,0.013373167239484054,0.022814997359075478,0.00028539725724069777,50,0.0,0.0,0.0,1000,796282693
22,0.906,0.912,0.8703178488887049,0.37523997010232957,0.051253935698453094,0.00020212732684768935,0.0016083432467271972,50,0.0,0.0,0.0,1000,392022359
23,0.3,0.365,0.32360106821542867,0.0973120215899113,0.007183868074729281,0.023698407763167416,0.019666233770431515,50,0.0,0.0,0.0,1000,1990212658
24,0.526,0.521,0.45251249027981066,0.4018149906342615,0.0007931592130155394,0.008482829959598728,0.1314760766651257,50,0.0,0.0,0.0,1000,1678403330
25,0.242,0.233,0.19507057183928633,0.3938743244214925,0.013467871360949872,0.0297138080501597,0.01333803704394798,50,0.0,0.0,0.0,1000,1382689815
26,0.736,0.744,0.8322258782353906,0.8972235072321766,0.019544922388679595,0.002332631871896102,0.016199965770747622,50,0.0,0.0,0.0,1000,864178266
27,0.376,0.383,0.5660648234945147,0.40926315971713034,0.021889244370101,0.014282749268519909,0.07105548670877807,50,0.0,0.0,0.0,1000,1766867109
28,0.545,0.543,0.7151942325849484,0.8537254508285419,0.03403989929659121,0.007963584209194586,0.04197920805907021,50,0.0,0.0,0.0,1000,1171300112
29,0.141,0.129,0.1525786188906281,0.08886919613129057,0.014534924277793246,0.03879878839048362,0.004949333482267505,50,0.0,0.0,0.0,1000,952224740
30,0.521,0.521,0.5545926278781357,0.20290105096565889,0.0003700412616389294,0.006905235196644742,0.018096226886279293,50,0.0,0.0,0.0,1000,967354524
31,0.471,0.506,0.5520362737670317,0.2664255467270173,0.027584641887150776,0.009965897118573335,0.0074269337853358295,50,0.0,0.0,0.0,1000,487991438
32,0.368,0.35,0.4274196253843602,0.5454963330231264,0.015457367741137705,0.01945636247003271,0.0478168649517539,50,0.0,0.0,0.0,1000,197860368
33,0.113,0.142,0.1580491288926028,0.18656497587835774,0.04463267813239369,0.05783563989135981,0.045113348178356216,50,0.0,0.0,0.0,1000,1190961760
34,0.808,0.803,0.8073060831797227,0.4040773849034671,5.608931078817048e-05,0.001332736379398831,0.028840192685651835,50,0.0,0.0,0.0,1000,1906728918
35,0.91,0.919,0.9473619224259937,0.8235875994258159,0.014096215719930996,0.00030457271317455394,0.004383205542602372,50,0.0,0.0,0.0,1000,137046513
36,0.232,0.232,0.23389829788630995,0.3261311530478902,0.019433224210445424,0.033408212438983405,0.007232683839727995,50,0.0,0.0,0.0,1000,1843166518
37,0.077,0.08,0.15419333513562242,0.08396943694200021,0.006363906931587413,0.042286212876082016,2.3480647627502504e-05,50,0.0,0.0,0.0,1000,1777324407
38,0.361,0.371,0.332828636728583,0.165289727138802,0.011054722310197813,0.015852721082821052,0.01637285228638186,50,0.0,0.0,0.0,1000,594336917
39,0.834,0.82,0.8108286325515113,0.6491485429574574,0.0003105118671996131,0.0009003656173089067,0.05440117882549256,50,0.0,0.0,0.0,1000,1356488967
40,0.695,0.725,0.7176094917430127,0.4796477423320613,0.029933385857786224,0.002589497269158052,5.724789045994446e-05,50,0.0,0.0,0.0,1000,354826746
41,0.834,0.84,0.817600847688546,0.692648826999962,0.005112913117256374,0.0007809458069221601,0.006293515687489609,50,0.0,0.0,0.0,1000,1627981024
42,0.27,0.271,0.28677943402450023,0.7692269555643763,0.00019527037758840137,0.023732293017297915,0.0039659869072662425,50,0.0,0.0,0.0,1000,1504361614
43,0.652,0.644,0.7417717248729523,0.9619903188920456,0.004346397704713977,0.0038229586174737713,0.050997979164864746,50,0.0,0.0,0.0,1000,761338718
44,0.658,0.655,0.6423084737896596,0.7550376830740013,5.355483859952903e-05,0.004550713956553147,0.0037081153664475083,50,0.0,0.0,0.0,1000,145857092
45,0.852,0.855,0.8943849858235406,0.5611843257171667,0.024330427114926795,0.0006707031630444335,0.0018382792133216535,50,0.0,0.0,0.0,1000,2084558133
46,0.553,0.558,0.6085446986653626,0.8474613849356194,0.0019319002762474356,0.005561637990329218,6.206291983913486e-05,50,0.0,0.0,0.0,1000,957106589
47,0.43,0.446,0.5262516073239866,0.7419003139107986,0.018851534138983102,0.010921361513591939,0.00905879714068058,50,0.0,0.0,0.0,1000,1917963002
48,0.909,0.902,0.9214037594255082,0.21342579934349687,0.0005301243153382146,0.0002525582949988658,0.004004745768155238,50,0.0,0.0,0.0,1000,1455819991
49,0.437,0.404,0.5717816280904995,0.7152251382058301,0.08954019946933817,0.010615159953144972,0.00660011715321317,50,0.0,0.0,0.0,1000,1671565830
50,0.683,0.675,0.7368411949598748,0.8566352601863972,0.001079762214198524,0.0030223292211598927,0.04319322349647774,50,0.0,0.0,0.0,1000,1631871623
51,0.575,0.583,0.5284988784577647,0.5918232005621302,0.04388322386880621,0.0069059981572951274,0.0011268011322794873,50,0.0,0.0,0.0,1000,417983441
52,0.116,0.117,0.1294542816697432,0.1683206899448498,0.046225411236075535,0.043516195885812146,0.0007287089394939159,50,0.0,0.0,0.0,1000,781482251
53,0.264,0.265,0.3751325653248152,0.4413475095339443,0.034844867080670694,0.029881221288626667,0.07273802901777336,50,0.0,0.0,0.0,1000,1002275723
54,0.777,0.782,0.785547835272921,0.8218626874296608,0.06667980719162168,0.002112325614756668,0.0008309560299395023,50,0.0,0.0,0.0,1000,1068999196
55,0.16,0.161,0.10000124331870551,0.01817994823193554,0.01092361877433751,0.03938733188233753,0.07597940676867151,50,0.0,0.0,0.0,1000,94067870
56,0.555,0.553,0.5914462141447586,0.3770975641296713,0.005193131399381287,0.007379377471793558,0.012340708408171072,50,0.0,0.0,0.0,1000,1173749071
57,0.654,0.67,0.6166390529682679,0.9589362463594966,0.0073781708725714525,0.0038791329699495486,0.014208710848060163,50,0.0,0.0,0.0,1000,331334160
