,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.766,0.768,0.7835354180257486,0.7211179433357531,0.00022397328805610456,0.00159313772816964,0.0005148694675604819,50,0.0,0.0,0.0,1000,191664963
1,0.538,0.534,0.5196280764055036,0.6472728398059562,0.001610955591563343,0.00821927930524653,0.006289074130961208,50,0.0,0.0,0.0,1000,1662057957
2,0.504,0.519,0.49238819816008017,0.5377445410873531,0.003264981511011221,0.008952483734296987,0.008336681799006804,50,0.0,0.0,0.0,1000,1405681631
3,0.494,0.492,0.4866496169556068,0.2539236033945696,0.001332466031278713,0.009752934144713758,0.005281591704789825,50,0.0,0.0,0.0,1000,942484272
4,0.255,0.257,0.2582600730655727,0.41092297417497925,0.04478127091029623,0.02924224310361975,0.0023576262001755986,50,0.0,0.0,0.0,1000,929893137
5,0.272,0.291,0.2810549157030698,0.4848905138978843,0.001852775716237622,0.023836693253216502,0.0029153073354786976,50,0.0,0.0,0.0,1000,1843824992
6,0.721,0.726,0.7001040595895058,0.7912000813308563,0.028008319595619148,0.002281046757150271,0.0021843153182487807,50,0.0,0.0,0.0,1000,184566854
7,0.592,0.587,0.6047539520077905,0.6021397912242532,0.0011281754406552947,0.006154519443054371,0.008022544062541317,50,0.0,0.0,0.0,1000,1497586438
8,0.535,0.53,0.5445455258169883,0.603150726190121,0.00039876226448251205,0.00803956712460423,0.003278741444374556,50,0.0,0.0,0.0,1000,432652533
9,0.312,0.255,0.1587982453124318,0.1756013834404689,0.03839246061528797,0.02566933877648696,0.035114589987934944,50,0.0,0.0,0.0,1000,202244314
10,0.033,0.034,0.033789991342446354,0.02966532570865876,0.014011493367426879,0.0949856379069676,0.0035013372680213176,50,0.0,0.0,0.0,1000,1130604997
11,0.582,0.59,0.5778625920255582,0.6212082131263057,0.0003473303675879853,0.0067816539294069675,0.0029555304687496585,50,0.0,0.0,0.0,1000,2095133045
12,0.878,0.848,0.9884629387366062,0.8654109597242332,0.04552734816169505,0.0007540210274934331,0.01912935572090091,50,0.0,0.0,0.0,1000,1580016183
13,0.754,0.766,0.725810280791375,0.6876872157589786,0.030001726845538704,0.001981683160063018,0.0012281746752166509,50,0.0,0.0,0.0,1000,1634535062
14,0.386,0.39,0.20385331301921777,0.25280838382643045,0.06187977367598476,0.01627528518027687,0.037205710051603544,50,0.0,0.0,0.0,1000,1540770719
15,0.242,0.283,0.24983431376552853,0.27392997866089536,0.020719779178003123,0.025728874114080896,0.001352589366971387,50,0.0,0.0,0.0,1000,1688060240
16,0.338,0.335,0.30451864044648225,0.43790322256711056,0.009776039609139238,0.02014639217990741,0.004600131190391753,50,0.0,0.0,0.0,1000,1102145672
17,0.108,0.106,0.12901427911382224,0.17067322641734914,0.012893415632080752,0.0546213914482294,0.02523667670442154,50,0.0,0.0,0.0,1000,275121930
18,0.488,0.493,0.420172690804154,0.5310623765695177,0.04073942339957502,0.009808998829140415,0.0062624763846553695,50,0.0,0.0,0.0,1000,1803345590
19,0.917,0.916,0.9181680343239371,0.9911049324613111,0.06043575481104726,0.00022946221866648576,0.014541079120967818,50,0.0,0.0,0.0,1000,967196436
20,0.794,0.792,0.766456093257873,0.8902628970007304,0.0026499956761983708,0.001699673929336982,0.0018420036858488962,50,0.0,0.0,0.0,1000,1074497555
21,0.527,0.5,0.4536257823214339,0.5558147452860078,0.023508701462513926,0.008832075966354502,0.008152002644848822,50,0.0,0.0,0.0,1000,796282693
22,0.311,0.29,0.44297386029182617,0.37523997010232957,0.10440326016074421,0.023403634022388573,0.022096936383256622,50,0.0,0.0,0.0,1000,392022359
23,0.093,0.08,0.0955671531302707,0.0973120215899113,0.003602773903456298,0.061026022935008,0.02818532731758473,50,0.0,0.0,0.0,1000,1990212658
24,0.371,0.337,0.40874569574010566,0.4018149906342615,0.00335725816242011,0.01786943055799577,0.20348090379863618,50,0.0,0.0,0.0,1000,1678403330
25,0.377,0.379,0.38855357863949647,0.3938743244214925,0.00522933704704519,0.015375830680298928,0.00047636509296563847,50,0.0,0.0,0.0,1000,1382689815
26,0.889,0.892,0.9787329685648298,0.8972235072321766,0.02450998544138542,0.0005821571628897231,0.03182019315808413,50,0.0,0.0,0.0,1000,864178266
27,0.459,0.459,0.38757661715163993,0.40926315971713034,0.005503142146426064,0.011607790212884692,0.04295555803794098,50,0.0,0.0,0.0,1000,1766867109
28,0.605,0.547,0.8607440615867955,0.8537254508285419,0.09700110870630514,0.007516404324997908,0.040601956483767736,50,0.0,0.0,0.0,1000,1171300112
29,0.052,0.057,0.04854208087539456,0.08886919613129057,0.0005792606721741987,0.07677004187236762,0.019575709479871643,50,0.0,0.0,0.0,1000,952224740
30,0.332,0.326,0.326184917543318,0.20290105096565889,0.0018069608972975614,0.018454295542170002,0.01914277876029671,50,0.0,0.0,0.0,1000,967354524
31,0.197,0.19,0.18935842388728472,0.2664255467270173,0.029437943096349495,0.035777159666159505,5.6322062259867855e-05,50,0.0,0.0,0.0,1000,487991438
32,0.506,0.538,0.6176393049249744,0.5454963330231264,0.009307244586433913,0.009201465413457132,0.07158674494375813,50,0.0,0.0,0.0,1000,197860368
33,0.103,0.11,0.11669909420871334,0.18656497587835774,0.0014267278539558785,0.05215835378340357,0.07824212646938465,50,0.0,0.0,0.0,1000,1190961760
34,0.336,0.339,0.413672470155208,0.4040773849034671,0.024304790497719393,0.022456933421068356,0.050003813096114846,50,0.0,0.0,0.0,1000,1906728918
