,p_cpt_lin,p_cpt_gam,p_pc_pearson,p_pc_spearman,r2_y_c,r2_yhat_c,r2_y_yhat,n,w_yc,w_yyhat,w_cyhat,num_perms,random_seed
0,0.999,0.998,0.9968046733526448,0.7211179433357531,0.0001133467725464552,7.343911723390303e-08,0.0008808707880677912,50,0.0,0.0,0.0,1000,191664963
1,0.331,0.347,0.3248338287415672,0.6472728398059562,0.003563508462098333,0.019277200245018083,0.004902548073110513,50,0.0,0.0,0.0,1000,1662057957
2,0.857,0.858,0.8751204670309032,0.5377445410873531,0.0008674322182650778,0.0007668045156715988,0.02872169288629975,50,0.0,0.0,0.0,1000,1405681631
3,0.168,0.172,0.17970445489965353,0.2539236033945696,0.004056435107283224,0.040124488388963576,0.01224159431267246,50,0.0,0.0,0.0,1000,942484272
4,0.035,0.028,0.04062551934250338,0.41092297417497925,0.04038901292609361,0.09286968536102887,0.00834845675834807,50,0.0,0.0,0.0,1000,929893137
5,0.135,0.155,0.11333802389391938,0.4848905138978843,0.005780250468132156,0.04678871544403709,0.017634958683445997,50,0.0,0.0,0.0,1000,1843824992
6,0.754,0.738,0.7306157381434777,0.7912000813308563,0.007507817682273514,0.0020427615981624524,0.0033136881590134226,50,0.0,0.0,0.0,1000,184566854
7,0.493,0.501,0.48081640460389885,0.6021397912242532,0.002545098063045845,0.010334493064647019,0.0006461575087174364,50,0.0,0.0,0.0,1000,1497586438
8,0.615,0.627,0.5911235176516965,0.603150726190121,0.0025139542542945738,0.005376195184418035,0.009409344834585977,50,0.0,0.0,0.0,1000,432652533
9,0.417,0.388,0.18654495095339535,0.1756013834404689,0.05730589394216811,0.016205388528773408,0.05121813280211303,50,0.0,0.0,0.0,1000,202244314
10,0.067,0.073,0.07665730190889054,0.02966532570865876,0.02138097889748354,0.06600157123065216,0.0009352795064701281,50,0.0,0.0,0.0,1000,1130604997
11,0.539,0.532,0.5055610124926158,0.6212082131263057,0.0008216078185640488,0.009394657006603274,0.00021534599393460214,50,0.0,0.0,0.0,1000,2095133045
12,0.642,0.627,0.5683547579194405,0.8654109597242332,0.0334629809356669,0.004825982046903369,0.00462561345135371,50,0.0,0.0,0.0,1000,1580016183
13,0.199,0.193,0.17790046334602688,0.6876872157589786,0.010178898682094591,0.03449328169680937,0.006721468935830129,50,0.0,0.0,0.0,1000,1634535062
14,0.005,0.005,0.0018955684277592992,0.25280838382643045,0.060010968508292704,0.1491021953354973,0.01527530330205622,50,0.0,0.0,0.0,1000,1540770719
15,0.405,0.401,0.3795172307634519,0.27392997866089536,0.01066840888171489,0.01503150275504644,0.0022509736342425737,50,0.0,0.0,0.0,1000,1688060240
16,0.295,0.283,0.27917240530989984,0.43790322256711056,0.0024065986834776883,0.023867872150265767,0.0031783587053177856,50,0.0,0.0,0.0,1000,1102145672
17,0.369,0.374,0.4391080069528225,0.17067322641734914,0.005329739081590229,0.015544892524205994,0.03663535535103739,50,0.0,0.0,0.0,1000,275121930
18,0.306,0.311,0.252064332929638,0.5310623765695177,0.025961691541825573,0.022353803159890034,0.008015661069570417,50,0.0,0.0,0.0,1000,1803345590
19,0.757,0.693,0.574289709169759,0.9911049324613111,0.062333726185794726,0.0020433409505928534,0.018219251219620824,50,0.0,0.0,0.0,1000,967196436
20,0.966,0.958,0.9524704868603799,0.8902628970007304,0.00013942627796137942,4.5410450813032785e-05,0.025581630498038313,50,0.0,0.0,0.0,1000,1074497555
21,0.226,0.214,0.21791813422878534,0.5558147452860078,0.014239616978165453,0.03129304621011042,7.358355362698672e-05,50,0.0,0.0,0.0,1000,796282693
22,0.888,0.876,0.9940726025992003,0.37523997010232957,0.08020771957255073,0.0004091336668361739,0.004588721053405555,50,0.0,0.0,0.0,1000,392022359
23,0.139,0.217,0.17085426826718741,0.0973120215899113,0.0057649608534529025,0.04304060277458853,0.02302301099854734,50,0.0,0.0,0.0,1000,1990212658
24,0.909,0.909,0.776456587468614,0.4018149906342615,0.002424328996857745,0.0003378936730480686,0.16026021352039257,50,0.0,0.0,0.0,1000,1678403330
25,0.26,0.256,0.22560715164737977,0.3938743244214925,0.012454190986657905,0.02717322375296044,0.007543308556641624,50,0.0,0.0,0.0,1000,1382689815
26,0.766,0.771,0.8829267255015,0.8972235072321766,0.020362920049376888,0.0018589019580456869,0.023767237657283596,50,0.0,0.0,0.0,1000,864178266
27,0.561,0.564,0.744971244423857,0.40926315971713034,0.018015464315488106,0.00647210472645502,0.06732376943495094,50,0.0,0.0,0.0,1000,1766867109
28,0.606,0.57,0.8036132051282788,0.8537254508285419,0.054295854635405996,0.0068216915384634634,0.04225760029312067,50,0.0,0.0,0.0,1000,1171300112
29,0.1,0.105,0.0919092448320395,0.08886919613129057,0.008872312367906159,0.05424496549557202,0.008056308738993195,50,0.0,0.0,0.0,1000,952224740
30,0.44,0.44,0.44201889087845736,0.20290105096565889,0.0004713312531308925,0.011717094743137453,0.01931388661041592,50,0.0,0.0,0.0,1000,967354524
31,0.334,0.346,0.4129862132827894,0.2664255467270173,0.030675219346160566,0.016766398310396457,0.004689125578333763,50,0.0,0.0,0.0,1000,487991438
32,0.364,0.355,0.42015186654766,0.5454963330231264,0.013601310199092347,0.019962331894456044,0.05606479874322091,50,0.0,0.0,0.0,1000,197860368
33,0.158,0.159,0.1955669881905846,0.18656497587835774,0.025229365979605015,0.047321646568323134,0.053993573256095176,50,0.0,0.0,0.0,1000,1190961760
34,0.638,0.637,0.6534433155923294,0.4040773849034671,0.0025315670763666745,0.005504355491057206,0.0375597256041098,50,0.0,0.0,0.0,1000,1906728918
35,0.797,0.779,0.8051302928595055,0.8235875994258159,0.013574166718809181,0.0017980958305208448,0.003151000353212534,50,0.0,0.0,0.0,1000,137046513
